ANP,URL,Worker Resposes,,,,STDev/Img,STDev/ANP,Mean/Img,Mean/ANP
abandoned_area,http://farm4.static.flickr.com/3819/9606057137_2ea30b2d39.jpg,0,-2,1,,1.527525232,,-0.333333333,
abandoned_area,http://farm4.static.flickr.com/3937/15497956760_0fb444812b.jpg,0,1,1,,0.577350269,,0.666666667,
abandoned_area,http://farm5.static.flickr.com/4063/4591964818_004402afb2.jpg,-2,1,1,,1.732050808,1.269295518,0,0.111111111
abandoned_asylum,http://farm4.static.flickr.com/3472/5804334552_7a2233154c.jpg,-1,0,0,,0.577350269,,-0.333333333,
abandoned_asylum,http://farm4.static.flickr.com/3607/3375731110_0a193db60f.jpg,0,1,1,,0.577350269,,0.666666667,
abandoned_asylum,http://farm8.static.flickr.com/7405/14136349651_c2b0402ebf.jpg,,-1,0,,0.707106781,0.755928946,-0.5,-0.055555555
abandoned_boat,http://farm3.static.flickr.com/2266/3533040101_486601f5d0.jpg,1,1,1,,0,,1,
abandoned_boat,http://farm3.static.flickr.com/2748/4418476916_f30183fc0b.jpg,0,1,0,,0.577350269,,0.333333333,
abandoned_boat,http://farm4.static.flickr.com/3555/3323204957_9eb56b4711.jpg,1,-1,-1,,1.154700538,0.866025404,-0.333333333,0.333333333
abandoned_building,http://farm4.static.flickr.com/3908/15114634586_c09daff866.jpg,0,0,1,,0.577350269,,0.333333333,
abandoned_building,http://farm4.static.flickr.com/3936/14954171333_4a03eab7c2.jpg,0,-1,0,,0.577350269,,-0.333333333,
abandoned_building,http://farm6.static.flickr.com/5572/15106693756_292c6700a2.jpg,0,1,-1,,1,0.707106781,0,0
abandoned_car,http://farm3.static.flickr.com/2049/2182747206_d539dbe51a.jpg,0,0,-1,,0.577350269,,-0.333333333,
abandoned_car,http://farm3.static.flickr.com/2808/9641395096_3069d91643.jpg,0,0,0,,0,,0,
abandoned_car,http://farm6.static.flickr.com/5234/14155832536_bf90e26072.jpg,0,-1,-2,,1,0.726483157,-1,-0.444444444
abandoned_castle,http://farm4.static.flickr.com/3079/2829835173_a96268edd7.jpg,1,0,0,,0.577350269,,0.333333333,
abandoned_castle,http://farm4.static.flickr.com/3745/12481846873_cf88fe677c.jpg,-1,-1,1,,1.154700538,,-0.333333333,
abandoned_castle,http://farm9.static.flickr.com/8140/15588940058_7f1d725240.jpg,-2,-1,-1,,0.577350269,1.013793755,-1.333333333,-0.444444444
abandoned_cemetery,http://farm4.static.flickr.com/3464/3372364624_488af2a448.jpg,1,1,0,,0.577350269,,0.666666667,
abandoned_cemetery,http://farm5.static.flickr.com/4020/4487805067_7c39a66db5.jpg,0,0,-1,,0.577350269,,-0.333333333,
abandoned_cemetery,http://farm8.static.flickr.com/7393/11038462136_1c05090d94.jpg,0,0,1,,0.577350269,0.666666667,0.333333333,0.222222222
abandoned_church,http://farm5.static.flickr.com/4022/4356987929_e6839b536a.jpg,0,1,0,,0.577350269,,0.333333333,
abandoned_church,http://farm5.static.flickr.com/4045/4314351141_9b46298419.jpg,1,0,1,,0.577350269,,0.666666667,
abandoned_church,http://farm6.static.flickr.com/5045/5223664282_f86f764814.jpg,0,-1,0,,0.577350269,0.666666667,-0.333333333,0.222222222
abandoned_city,http://farm5.static.flickr.com/4018/4692967988_26b79f6d49.jpg,1,0,0,,0.577350269,,0.333333333,
abandoned_city,http://farm6.static.flickr.com/5574/14754950162_dcbc0c1ac1.jpg,1,0,0,,0.577350269,,0.333333333,
abandoned_city,http://farm7.static.flickr.com/6179/6157258493_54b795980d.jpg,-1,-1,0,,0.577350269,0.707106781,-0.666666667,-3.33333E-10
abandoned_factory,http://farm3.static.flickr.com/2862/13312275413_2911bedd66.jpg,-1,0,-1,,0.577350269,,-0.666666667,
abandoned_factory,http://farm4.static.flickr.com/3709/9254488992_5742f5556d.jpg,-1,2,-1,,1.732050808,,0,
abandoned_factory,http://farm6.static.flickr.com/5582/15062635288_6eef436a48.jpg,-1,0,1,,1,1.092906421,0,-0.222222222
abandoned_farm,http://farm6.static.flickr.com/5164/5353849380_10cd08e2c0.jpg,0,1,1,,0.577350269,,0.666666667,
abandoned_farm,http://farm7.static.flickr.com/6055/6331791015_d9d316532a.jpg,1,1,1,,0,,1,
abandoned_farm,http://farm8.static.flickr.com/7346/10457055956_9c000acb6e.jpg,-1,0,0,,0.577350269,0.726483157,-0.333333333,0.444444445
abandoned_farmhouse,http://farm3.static.flickr.com/2157/2269888093_43fb3e28a9.jpg,0,0,0,,0,,0,
abandoned_farmhouse,http://farm4.static.flickr.com/3264/3205878910_9f5dfeecd6.jpg,0,0,0,,0,,0,
abandoned_farmhouse,http://farm7.static.flickr.com/6036/6217519136_4d6da8552a.jpg,0,0,1,,0.577350269,0.333333333,0.333333333,0.111111111
abandoned_furniture,http://farm3.static.flickr.com/2163/2388086295_2708a59172.jpg,1,-2,0,,1.527525232,,-0.333333333,
abandoned_furniture,http://farm5.static.flickr.com/4132/5021092212_509c975253.jpg,-1,2,0,,1.527525232,,0.333333333,
abandoned_furniture,http://farm8.static.flickr.com/7036/6924216773_2be2bfe4d1.jpg,1,1,0,,0.577350269,1.201850425,0.666666667,0.222222222
abandoned_home,http://farm5.static.flickr.com/4073/4750495631_a20c478d6a.jpg,0,0,1,,0.577350269,,0.333333333,
abandoned_home,http://farm6.static.flickr.com/5477/11288923363_b0c2914738.jpg,-2,-1,-1,,0.577350269,,-1.333333333,
abandoned_home,http://farm6.static.flickr.com/5548/13922860939_425c2954be.jpg,1,0,-1,,1,1,0,-0.333333333
abandoned_hospital,http://farm6.static.flickr.com/5485/14453685984_aff81443c7.jpg,-1,-1,0,,0.577350269,,-0.666666667,
abandoned_hospital,http://farm8.static.flickr.com/7361/11501299303_82e1066e3f.jpg,0,0,1,,0.577350269,,0.333333333,
abandoned_hospital,http://farm8.static.flickr.com/7543/15970380336_9c6908be9b.jpg,0,-1,1,,1,0.78173596,0,-0.111111111
abandoned_hotel,http://farm1.static.flickr.com/115/316592506_ebc5630ed9.jpg,1,1,0,,0.577350269,,0.666666667,
abandoned_hotel,http://farm4.static.flickr.com/3502/3464527803_baa0f43e19.jpg,1,1,1,,0,,1,
abandoned_hotel,http://farm6.static.flickr.com/5591/15003355972_c9f79bdac7.jpg,0,0,0,,0,0.527046277,0,0.555555556
abandoned_house,http://farm6.static.flickr.com/5564/14545533847_72948b28f4.jpg,1,0,1,,0.577350269,,0.666666667,
abandoned_house,http://farm8.static.flickr.com/7513/16219507335_ef4ba9f13f.jpg,-1,1,0,,1,,0,
abandoned_house,http://farm9.static.flickr.com/8616/16229446303_6ef34b90b6.jpg,0,-1,-1,,0.577350269,0.866025404,-0.666666667,0
abandoned_industry,http://farm3.static.flickr.com/2825/11721618254_a18a0cac6e.jpg,0,-1,-1,,0.577350269,,-0.666666667,
abandoned_industry,http://farm6.static.flickr.com/5285/5271391600_0028f4913d.jpg,0,0,0,,0,,0,
abandoned_industry,http://farm8.static.flickr.com/7346/8714426055_66d673761a.jpg,0,0,0,,0,0.440958552,0,-0.222222222
abandoned_mansion,http://farm3.static.flickr.com/2938/13997313108_a2db3edb88.jpg,0,0,1,,0.577350269,,0.333333333,
abandoned_mansion,http://farm4.static.flickr.com/3916/15145933490_205ea7ff86.jpg,0,1,0,,0.577350269,,0.333333333,
abandoned_mansion,http://farm6.static.flickr.com/5615/15538603382_0cb1e603aa.jpg,0,0,0,,0,0.440958552,0,0.222222222
abandoned_mill,http://farm4.static.flickr.com/3213/2603431940_bea71b7843.jpg,1,1,1,,0,,1,
abandoned_mill,http://farm4.static.flickr.com/3546/3483266864_72c0e891f3.jpg,-1,0,-1,,0.577350269,,-0.666666667,
abandoned_mill,http://farm9.static.flickr.com/8187/8079362159_da2396237a.jpg,1,-1,1,,1.154700538,0.971825316,0.333333333,0.222222222
abandoned_mine,http://farm1.static.flickr.com/112/308387878_819e7a0488.jpg,1,1,0,,0.577350269,,0.666666667,
abandoned_mine,http://farm2.static.flickr.com/1365/1363025697_55cf4d0523.jpg,0,-1,0,,0.577350269,,-0.333333333,
abandoned_mine,http://farm9.static.flickr.com/8056/8398811757_ba41cfeef1.jpg,1,1,0,,0.577350269,0.707106781,0.666666667,0.333333334
abandoned_motel,http://farm6.static.flickr.com/5216/5523981261_d13aba1a0a.jpg,1,-1,-1,,1.154700538,,-0.333333333,
abandoned_motel,http://farm8.static.flickr.com/7575/15782224146_27381e7f3c.jpg,0,-2,-1,,1,,-1,
abandoned_motel,http://farm9.static.flickr.com/8621/16158652451_622fe7ce42.jpg,0,0,0,,0,0.881917104,0,-0.444444444
abandoned_places,http://farm4.static.flickr.com/3925/14985089956_b888d0c3c5.jpg,1,0,0,,0.577350269,,0.333333333,
abandoned_places,http://farm6.static.flickr.com/5113/14399623872_1a43c93b36.jpg,0,0,0,,0,,0,
abandoned_places,http://farm8.static.flickr.com/7413/14157944312_fb5323ff8a.jpg,0,0,0,,0,0.333333333,0,0.111111111
abandoned_pool,http://farm8.static.flickr.com/7401/9611462726_5fb58dbb72.jpg,0,-1,0,,0.577350269,,-0.333333333,
abandoned_pool,http://farm9.static.flickr.com/8008/7104225859_7b0daa9d05.jpg,-2,0,-1,,1,,-1,
abandoned_pool,http://farm9.static.flickr.com/8386/8634302838_903df36d13.jpg,-1,0,0,,0.577350269,0.726483157,-0.333333333,-0.555555555
abandoned_prison,http://farm5.static.flickr.com/4139/4858871022_d9ba29c26e.jpg,0,-1,0,,0.577350269,,-0.333333333,
abandoned_prison,http://farm6.static.flickr.com/5255/5587139218_15675b8bff.jpg,-1,0,1,,1,,0,
abandoned_prison,http://farm7.static.flickr.com/6154/6165996781_c4c8b8e16f.jpg,0,0,0,,0,0.600925213,0,-0.111111111
abandoned_railroad,http://farm3.static.flickr.com/2696/4143063562_6b662a0ae7.jpg,0,0,0,,0,,0,
abandoned_railroad,http://farm4.static.flickr.com/3643/3890865282_1e8134899e.jpg,0,0,0,,0,,0,
abandoned_railroad,http://farm9.static.flickr.com/8240/8506575092_be3c2183df.jpg,0,0,0,,0,0,0,0
abandoned_resort,http://farm4.static.flickr.com/3914/14797217186_4d38936c03.jpg,-1,0,0,,0.577350269,,-0.333333333,
abandoned_resort,http://farm6.static.flickr.com/5556/14823784968_058f56339c.jpg,1,0,0,,0.577350269,,0.333333333,
abandoned_resort,http://farm8.static.flickr.com/7400/12349387163_6a445cdc27.jpg,,1,0,,0.707106781,0.640869944,0.5,0.166666667
abandoned_road,http://farm3.static.flickr.com/2182/1663166298_5389f8eb49.jpg,1,1,1,,0,,1,
abandoned_road,http://farm7.static.flickr.com/6227/6248014650_b46a43326d.jpg,1,0,0,,0.577350269,,0.333333333,
abandoned_road,http://farm9.static.flickr.com/8082/8261797697_c0b370bc43.jpg,0,1,1,,0.577350269,0.5,0.666666667,0.666666667
abandoned_school,http://farm3.static.flickr.com/2466/3731929150_3b852bbca6.jpg,-1,-1,-1,,0,,-1,
abandoned_school,http://farm5.static.flickr.com/4110/5219434208_5aff51a05a.jpg,-1,0,0,,0.577350269,,-0.333333333,
abandoned_school,http://farm8.static.flickr.com/7389/9354086043_e853b5bd84.jpg,0,-1,0,,0.577350269,0.527046277,-0.333333333,-0.555555555
abandoned_structure,http://farm2.static.flickr.com/1082/1348843904_179badc33d.jpg,-1,-1,0,,0.577350269,,-0.666666667,
abandoned_structure,http://farm3.static.flickr.com/2932/14755348736_d465666973.jpg,-1,,0,,0.707106781,,-0.5,
abandoned_structure,http://farm8.static.flickr.com/7189/6926506971_e1e474ceff.jpg,0,0,0,,0,0.51754917,0,-0.388888889
abandoned_theater,http://farm3.static.flickr.com/2507/4238180154_1b92fd8cf7.jpg,0,0,1,,0.577350269,,0.333333333,
abandoned_theater,http://farm4.static.flickr.com/3325/3591809895_758c49a9ed.jpg,0,0,0,,0,,0,
abandoned_theater,http://farm4.static.flickr.com/3727/9159554713_575e537514.jpg,1,0,0,,0.577350269,0.440958552,0.333333333,0.222222222
abandoned_town,http://farm3.static.flickr.com/2584/3890609687_86c0b2ee76.jpg,0,1,0,,0.577350269,,0.333333333,
abandoned_town,http://farm4.static.flickr.com/3312/3621192161_845cac8572.jpg,1,0,0,,0.577350269,,0.333333333,
abandoned_town,http://farm5.static.flickr.com/4044/4481573773_4ce79b12f7.jpg,1,-1,-2,,1.527525232,1,-0.666666667,-3.33333E-10
abandoned_train,http://farm4.static.flickr.com/3401/3571434147_ae637e6b9b.jpg,0,2,1,,1,,1,
abandoned_train,http://farm5.static.flickr.com/4043/4576278481_621cc06c5e.jpg,0,0,0,,0,,0,
abandoned_train,http://farm8.static.flickr.com/7446/12913782585_b738618d3a.jpg,,-2,0,,1.414213562,1.125991626,-1,0
abandoned_truck,http://farm3.static.flickr.com/2555/4214669042_aa58ca55fa.jpg,0,2,-1,,1.527525232,,0.333333333,
abandoned_truck,http://farm3.static.flickr.com/2580/3966934349_9d5e3ace7f.jpg,0,1,0,,0.577350269,,0.333333333,
abandoned_truck,http://farm3.static.flickr.com/2636/3956200078_b85e752924.jpg,1,0,1,,0.577350269,0.881917104,0.666666667,0.444444444
abandoned_tunnel,http://farm3.static.flickr.com/2090/2226293841_99da7957b0.jpg,0,-1,0,,0.577350269,,-0.333333333,
abandoned_tunnel,http://farm4.static.flickr.com/3246/2932735935_ebcf7474aa.jpg,0,1,0,,0.577350269,,0.333333333,
abandoned_tunnel,http://farm6.static.flickr.com/5223/5598748720_de42541cb5.jpg,1,0,1,,0.577350269,0.666666667,0.666666667,0.222222222
abandoned_warehouse,http://farm3.static.flickr.com/2007/2311875092_0cb09a7d25.jpg,0,1,0,,0.577350269,,0.333333333,
abandoned_warehouse,http://farm3.static.flickr.com/2679/4366566859_211848c28a.jpg,1,1,0,,0.577350269,,0.666666667,
abandoned_warehouse,http://farm6.static.flickr.com/5270/5833980961_dccff177d1.jpg,0,1,1,,0.577350269,0.527046277,0.666666667,0.555555556
abandonned_place,https://farm3.static.flickr.com/2613/3705074466_d80e1ff1ef.jpg,0,0,-1,,0.577350269,,-0.333333333,
abandonned_place,https://farm4.static.flickr.com/3353/3417791326_63ab3411dd.jpg,1,2,0,,1,,1,
abandonned_place,https://farm9.static.flickr.com/8232/8476637501_477685ff56.jpg,0,0,1,,0.577350269,0.866025404,0.333333333,0.333333333
academic_building,http://farm2.static.flickr.com/1285/558373501_f33af3ad39.jpg,0,0,0,,0,,0,
academic_building,http://farm6.static.flickr.com/5244/5373120766_d7e2455679.jpg,1,0,0,,0.577350269,,0.333333333,
academic_building,http://farm8.static.flickr.com/7201/6795039234_52df619524.jpg,2,0,1,,1,0.726483157,1,0.444444444
acid_house,http://farm3.static.flickr.com/2675/3795989418_16bd66f266.jpg,0,1,0,,0.577350269,,0.333333333,
acid_house,http://farm4.static.flickr.com/3271/2624284954_43970a5619.jpg,0,1,1,,0.577350269,,0.666666667,
acid_house,http://farm9.static.flickr.com/8517/8421525404_eae7c59c6e.jpg,-1,0,-1,,0.577350269,0.78173596,-0.666666667,0.111111111
acid_rain,http://farm4.static.flickr.com/3797/13011775865_47b1e86b96.jpg,0,-1,1,,1,,0,
acid_rain,http://farm4.static.flickr.com/3889/14639090901_0a3983ba2e.jpg,-1,-1,0,,0.577350269,,-0.666666667,
acid_rain,http://farm6.static.flickr.com/5252/5544290855_5c73f4eccc.jpg,1,-1,-1,,1.154700538,0.866025404,-0.333333333,-0.333333333
acting_school,http://farm4.static.flickr.com/3127/2894821408_ff8bf5b5ab.jpg,1,1,0,,0.577350269,,0.666666667,
acting_school,http://farm5.static.flickr.com/4009/4669534455_3754ce6296.jpg,2,2,1,,0.577350269,,1.666666667,
acting_school,http://farm7.static.flickr.com/6027/6016472669_a88c5104ea.jpg,1,0,1,,0.577350269,0.707106781,0.666666667,1
active_aging,http://farm5.static.flickr.com/4020/5076044868_61a78e86d2.jpg,1,0,0,,0.577350269,,0.333333333,
active_aging,http://farm5.static.flickr.com/4147/5022978043_515f69a094.jpg,1,0,1,,0.577350269,,0.666666667,
active_aging,http://farm8.static.flickr.com/7255/6875327188_33eef507f3.jpg,1,1,2,,0.577350269,0.666666667,1.333333333,0.777777778
active_child,http://farm7.static.flickr.com/6041/6332169307_5a2f82a798.jpg,0,1,0,,0.577350269,,0.333333333,
active_child,http://farm7.static.flickr.com/6045/6323981648_50c852a77c.jpg,1,1,2,,0.577350269,,1.333333333,
active_child,http://farm8.static.flickr.com/7096/7227038924_cb90765d2c.jpg,0,1,,,0.707106781,0.707106781,0.5,0.722222222
active_life,http://farm4.static.flickr.com/3718/9311833613_36fc9c7ff5.jpg,0,1,1,,0.577350269,,0.666666667,
active_life,http://farm6.static.flickr.com/5087/5272269508_85298d8bce.jpg,1,1,0,,0.577350269,,0.666666667,
active_life,http://farm9.static.flickr.com/8069/8238344863_31b99d594b.jpg,0,1,1,,0.577350269,0.5,0.666666667,0.666666667
active_lifestyle,http://farm3.static.flickr.com/2934/14270814038_4837a78959.jpg,2,2,2,,0,,2,
active_lifestyle,http://farm4.static.flickr.com/3945/15141313083_b28123f20d.jpg,0,0,1,,0.577350269,,0.333333333,
active_lifestyle,http://farm8.static.flickr.com/7486/15347107274_ddfb03dd1c.jpg,1,1,0,,0.577350269,0.866025404,0.666666667,1
active_living,http://farm2.static.flickr.com/1134/5104094421_f1bfa1f114.jpg,0,2,0,,1.154700538,,0.666666667,
active_living,http://farm3.static.flickr.com/2715/4438569819_373c408c0c.jpg,0,0,1,,0.577350269,,0.333333333,
active_living,http://farm4.static.flickr.com/3939/15581303100_02aa197070.jpg,2,2,1,,0.577350269,0.927960727,1.666666667,0.888888889
active_volcano,http://farm1.static.flickr.com/139/399692942_a756dd80b5.jpg,0,0,-1,,0.577350269,,-0.333333333,
active_volcano,http://farm3.static.flickr.com/2271/1529854876_c8b10c789d.jpg,0,1,1,,0.577350269,,0.666666667,
active_volcano,http://farm4.static.flickr.com/3487/3226994115_b649e128fc.jpg,-1,1,0,,1,0.78173596,0,0.111111111
actual_day,http://farm3.static.flickr.com/2825/10305919683_6509ef7cbd.jpg,1,2,1,,0.577350269,,1.333333333,
actual_day,http://farm9.static.flickr.com/8031/8026111033_7551c8d8e9.jpg,1,2,1,,0.577350269,,1.333333333,
