INFO:tensorflow:loss = 2.61026, 1, 0.101562
INFO:tensorflow:loss = 1.91255, 101, 0.359375 ,28.752 sec)
INFO:tensorflow:loss = 1.668, 201, 0.515625 ,29.146 sec)
INFO:tensorflow:loss = 1.34429, 301, 0.609375 ,29.289 sec)
INFO:tensorflow:loss = 1.29644, 401, 0.578125 ,29.495 sec)
INFO:tensorflow:loss = 1.33821, 501, 0.570312 ,28.953 sec)
INFO:tensorflow:loss = 1.32085, 601, 0.648438 ,29.528 sec)
INFO:tensorflow:loss = 1.18262, 701, 0.625 ,28.983 sec)
INFO:tensorflow:loss = 1.01101, 801, 0.734375 ,29.511 sec)
INFO:tensorflow:loss = 0.942634, 901, 0.773438 ,29.046 sec)
INFO:tensorflow:loss = 0.996778, 1001, 0.710938 ,28.996 sec)
INFO:tensorflow:loss = 1.07335, 1101, 0.6875 ,29.393 sec)
INFO:tensorflow:loss = 0.874621, 1201, 0.789062 ,28.958 sec)
INFO:tensorflow:loss = 0.940102, 1301, 0.789062 ,29.246 sec)
INFO:tensorflow:loss = 0.825095, 1401, 0.765625 ,28.873 sec)
INFO:tensorflow:loss = 0.792302, 1501, 0.820312 ,28.933 sec)
INFO:tensorflow:loss = 0.867303, 1601, 0.765625 ,29.394 sec)
INFO:tensorflow:loss = 0.989734, 1701, 0.710938 ,28.945 sec)
INFO:tensorflow:loss = 0.887557, 1801, 0.789062 ,29.475 sec)
INFO:tensorflow:loss = 0.793038, 1901, 0.789062 ,28.968 sec)
INFO:tensorflow:loss = 0.791756, 2001, 0.773438 ,29.382 sec)
INFO:tensorflow:loss = 0.700155, 2101, 0.828125 ,29.666 sec)
INFO:tensorflow:loss = 0.85296, 2201, 0.773438 ,28.945 sec)
INFO:tensorflow:loss = 0.869097, 2301, 0.78125 ,29.376 sec)
INFO:tensorflow:loss = 0.626827, 2401, 0.859375 ,28.853 sec)
INFO:tensorflow:loss = 0.899062, 2501, 0.796875 ,29.461 sec)
INFO:tensorflow:loss = 0.6504, 2601, 0.835938 ,28.908 sec)
INFO:tensorflow:loss = 0.764166, 2701, 0.828125 ,29.026 sec)
INFO:tensorflow:loss = 0.707252, 2801, 0.859375 ,29.350 sec)
INFO:tensorflow:loss = 0.700865, 2901, 0.84375 ,28.983 sec)
INFO:tensorflow:loss = 0.804662, 3001, 0.78125 ,29.683 sec)
INFO:tensorflow:loss = 0.638373, 3101, 0.835938 ,28.897 sec)
INFO:tensorflow:loss = 0.548986, 3201, 0.867188 ,29.541 sec)
INFO:tensorflow:loss = 0.693264, 3301, 0.804688 ,28.874 sec)
INFO:tensorflow:loss = 0.895437, 3401, 0.789062 ,28.927 sec)
INFO:tensorflow:loss = 0.614043, 3501, 0.828125 ,29.525 sec)
INFO:tensorflow:loss = 0.583242, 3601, 0.84375 ,28.953 sec)
INFO:tensorflow:loss = 0.682023, 3701, 0.835938 ,29.412 sec)
INFO:tensorflow:loss = 0.533473, 3801, 0.882812 ,28.935 sec)
INFO:tensorflow:loss = 0.593588, 3901, 0.882812 ,29.210 sec)
INFO:tensorflow:loss = 0.645444, 4001, 0.84375 ,29.161 sec)
INFO:tensorflow:loss = 0.621424, 4101, 0.835938 ,28.894 sec)
INFO:tensorflow:loss = 0.58878, 4201, 0.867188 ,30.535 sec)
INFO:tensorflow:loss = 0.755312, 4301, 0.8125 ,28.892 sec)
INFO:tensorflow:loss = 0.671449, 4401, 0.851562 ,29.542 sec)
INFO:tensorflow:loss = 0.703821, 4501, 0.835938 ,28.981 sec)
INFO:tensorflow:loss = 0.505737, 4601, 0.90625 ,28.993 sec)
INFO:tensorflow:loss = 0.488014, 4701, 0.882812 ,29.684 sec)
INFO:tensorflow:loss = 0.572388, 4801, 0.898438 ,28.907 sec)
INFO:tensorflow:loss = 0.488517, 4901, 0.914062 ,29.325 sec)
INFO:tensorflow:loss = 0.671182, 5001, 0.84375 ,28.838 sec)
INFO:tensorflow:loss = 0.590205, 5101, 0.867188 ,29.254 sec)
INFO:tensorflow:loss = 0.517468, 5201, 0.859375 ,29.310 sec)
INFO:tensorflow:loss = 0.752264, 5301, 0.8125 ,28.923 sec)
INFO:tensorflow:loss = 0.574199, 5401, 0.84375 ,29.491 sec)
INFO:tensorflow:loss = 0.517936, 5501, 0.859375 ,29.026 sec)
INFO:tensorflow:loss = 0.631015, 5601, 0.851562 ,29.774 sec)
INFO:tensorflow:loss = 0.485745, 5701, 0.90625 ,28.935 sec)
INFO:tensorflow:loss = 0.43955, 5801, 0.914062 ,28.895 sec)
INFO:tensorflow:loss = 0.580036, 5901, 0.84375 ,29.665 sec)
INFO:tensorflow:loss = 0.546602, 6001, 0.867188 ,28.851 sec)
INFO:tensorflow:loss = 0.596563, 6101, 0.882812 ,29.407 sec)
INFO:tensorflow:loss = 0.57357, 6201, 0.890625 ,29.627 sec)
INFO:tensorflow:loss = 0.545946, 6301, 0.898438 ,29.419 sec)
INFO:tensorflow:loss = 0.563989, 6401, 0.859375 ,29.037 sec)
INFO:tensorflow:loss = 0.536098, 6501, 0.867188 ,28.965 sec)
INFO:tensorflow:loss = 0.5725, 6601, 0.898438 ,29.574 sec)
INFO:tensorflow:loss = 0.532101, 6701, 0.875 ,28.871 sec)
INFO:tensorflow:loss = 0.661229, 6801, 0.851562 ,29.878 sec)
INFO:tensorflow:loss = 0.541294, 6901, 0.859375 ,28.906 sec)
INFO:tensorflow:loss = 0.662209, 7001, 0.820312 ,28.945 sec)
INFO:tensorflow:loss = 0.509126, 7101, 0.882812 ,29.626 sec)
INFO:tensorflow:loss = 0.48788, 7201, 0.882812 ,28.984 sec)
INFO:tensorflow:loss = 0.59418, 7301, 0.835938 ,29.677 sec)
INFO:tensorflow:loss = 0.516979, 7401, 0.875 ,28.929 sec)
INFO:tensorflow:loss = 0.582149, 7501, 0.882812 ,29.398 sec)
INFO:tensorflow:loss = 0.516516, 7601, 0.882812 ,29.097 sec)
INFO:tensorflow:loss = 0.624294, 7701, 0.867188 ,29.000 sec)
INFO:tensorflow:loss = 0.495559, 7801, 0.898438 ,29.754 sec)
INFO:tensorflow:loss = 0.475371, 7901, 0.890625 ,28.986 sec)
INFO:tensorflow:loss = 0.763052, 8001, 0.828125 ,29.540 sec)
INFO:tensorflow:loss = 0.582718, 8101, 0.867188 ,28.967 sec)
INFO:tensorflow:loss = 0.466144, 8201, 0.921875 ,29.143 sec)
INFO:tensorflow:loss = 0.421182, 8301, 0.90625 ,30.215 sec)
INFO:tensorflow:loss = 0.595376, 8401, 0.867188 ,29.003 sec)
INFO:tensorflow:loss = 0.509299, 8501, 0.90625 ,29.557 sec)
INFO:tensorflow:loss = 0.563445, 8601, 0.867188 ,28.949 sec)
INFO:tensorflow:loss = 0.549578, 8701, 0.882812 ,29.666 sec)
INFO:tensorflow:loss = 0.582383, 8801, 0.851562 ,28.908 sec)
INFO:tensorflow:loss = 0.518201, 8901, 0.890625 ,28.915 sec)
INFO:tensorflow:loss = 0.449925, 9001, 0.914062 ,29.665 sec)
INFO:tensorflow:loss = 0.638874, 9101, 0.835938 ,29.019 sec)
INFO:tensorflow:loss = 0.658669, 9201, 0.84375 ,29.661 sec)
INFO:tensorflow:loss = 0.481516, 9301, 0.914062 ,28.992 sec)
INFO:tensorflow:loss = 0.53946, 9401, 0.882812 ,29.096 sec)
INFO:tensorflow:loss = 0.56075, 9501, 0.882812 ,29.066 sec)
INFO:tensorflow:loss = 0.557198, 9601, 0.882812 ,28.959 sec)
INFO:tensorflow:loss = 0.682724, 9701, 0.828125 ,29.553 sec)
INFO:tensorflow:loss = 0.52839, 9801, 0.882812 ,28.936 sec)
INFO:tensorflow:loss = 0.425808, 9901, 0.945312 ,29.630 sec)
INFO:tensorflow:loss = 0.494202, 10001, 0.898438 ,28.982 sec)
INFO:tensorflow:loss = 0.629335, 10101, 0.84375 ,29.025 sec)
INFO:tensorflow:loss = 0.484991, 10201, 0.914062 ,29.722 sec)
INFO:tensorflow:loss = 0.424215, 10301, 0.921875 ,29.793 sec)
INFO:tensorflow:loss = 0.511019, 10401, 0.90625 ,29.582 sec)
INFO:tensorflow:loss = 0.509583, 10501, 0.875 ,28.935 sec)
INFO:tensorflow:loss = 0.483565, 10601, 0.867188 ,29.222 sec)
INFO:tensorflow:loss = 0.426469, 10701, 0.929688 ,29.023 sec)
INFO:tensorflow:loss = 0.627639, 10801, 0.851562 ,28.956 sec)
INFO:tensorflow:loss = 0.517391, 10901, 0.914062 ,29.581 sec)
INFO:tensorflow:loss = 0.405852, 11001, 0.921875 ,28.933 sec)
INFO:tensorflow:loss = 0.476222, 11101, 0.890625 ,29.535 sec)
INFO:tensorflow:loss = 0.412238, 11201, 0.929688 ,28.878 sec)
INFO:tensorflow:loss = 0.42299, 11301, 0.929688 ,29.017 sec)
INFO:tensorflow:loss = 0.425904, 11401, 0.914062 ,29.454 sec)
INFO:tensorflow:loss = 0.493397, 11501, 0.890625 ,28.971 sec)
INFO:tensorflow:loss = 0.449293, 11601, 0.90625 ,29.261 sec)
INFO:tensorflow:loss = 0.446047, 11701, 0.945312 ,28.959 sec)
INFO:tensorflow:loss = 0.465806, 11801, 0.921875 ,29.273 sec)
INFO:tensorflow:loss = 0.517277, 11901, 0.890625 ,29.069 sec)
INFO:tensorflow:loss = 0.449956, 12001, 0.90625 ,28.959 sec)
INFO:tensorflow:loss = 0.522327, 12101, 0.898438 ,29.265 sec)
INFO:tensorflow:loss = 0.518078, 12201, 0.90625 ,29.002 sec)
INFO:tensorflow:loss = 0.408714, 12301, 0.953125 ,29.445 sec)
INFO:tensorflow:loss = 0.442036, 12401, 0.929688 ,29.592 sec)
INFO:tensorflow:loss = 0.508332, 12501, 0.890625 ,29.092 sec)
INFO:tensorflow:loss = 0.51915, 12601, 0.882812 ,29.562 sec)
